Pos.;Leistung;Menge;Einheit;Quelle;Datei
0010;Fertigen, liefern und montieren.;1,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0020;Fertigen, liefern und montieren.;3,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Fertigen, liefern und montieren.;2,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0020;Fertigen, liefern und montieren.;1,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Fertigen, liefern und montieren.;1,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0020;Fertigen, liefern und montieren.;1,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Fertigen, liefern und montieren.;11,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0020;Fertigen, liefern und montieren.;5,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0030;Fertigen, liefern und montieren.;14,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Fertigen, liefern und montieren.;1,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Fertigen, liefern und montieren.;1,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Fertigen, liefern und montieren.;1,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0020;Fertigen, liefern und montieren.;8,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0030;Fertigen, liefern und montieren.;1,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Fertigen, liefern und montieren.;2,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Fertigen, liefern und montieren.;4,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0015;Fertigen, liefern und montieren.;1,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0020;Fertigen, liefern und montieren.;1,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0030;Fertigen, liefern und montieren.;1,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Fertigen, liefern und montieren.;4,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0020;Fertigen, liefern und montieren.;16,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0030;Fertigen, liefern und montieren.;1,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0040;Fertigen, liefern und montieren.;2,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Fertigen, liefern und montieren.;13,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0020;Fertigen, liefern und montieren Dummy für mobiles Trennelement mit akustischer Verkleidung;1,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Fertigen, liefern und montieren.;12,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0020;Fertigen, liefern und montieren.;13,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0030;Fertigen, liefern und montieren.;3,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0040;Fertigen, liefern und montieren.;2,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Fertigen, liefern und montieren.;2,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Fertigen, liefern und montieren.;1,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Fertigen, liefern und montieren.;3,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0020;Fertigen, liefern und montieren.;1,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0030;Fertigen, liefern und montieren.;3,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Fertigen, liefern und montieren.;3,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Fertigen, liefern und montieren.;4,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Fertigen, liefern und montieren.;4,0;St;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Arbeiten auf Anweisung der Bauleitung, welche nicht in den Einzelpositionen erfasst sind und auf Nachweis auszuführen sind, werden als Mischlohn berechnet für alle am Gewerk beteiligten (Vorarbeiter, Polier, Meister, Facharbeiter, Lehrling, Helfer...);32,0;h;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
0010;Erstellen einer Dokumentation über alle vom AN ausgeführten Leistungen und zur Ausführung eingesetzten Bauteile und Systeme.;1,0;psch;gaeb;Vergabeunterlagen/Fachunterlagen/15_LV.X83
